t,ax,ay,az,wx,wy,wz
0.0,-0.09702167400036256,0.0035249956799618017,-0.012738438788890992,0.0021460071454587606,2.893256893415246e-06,0.0009696412382455774
0.009,-0.06921063499886723,0.020848176236384006,-0.010442018689111647,0.0020869264772438844,-0.00015188881232489017,0.0009045788481900658
0.018,-0.05362480526923592,0.044124881815181954,-0.006525846345643415,0.0020119737031142155,0.00021297979599933537,0.0003998609490506588
0.028,-0.07494927233814272,0.02444116255715168,-0.005493986259946217,0.002060261941514845,0.00012869727936240755,0.0003845934720207738
0.037,-0.10023377623493017,0.00022075086853614104,-0.00701373896860681,0.0018950604848711934,-7.210973172408114e-05,0.00042556628147606506
0.047,-0.08134332021343485,0.02249975299193657,-0.007561954026711816,0.0014967468698150696,-0.0004973336803536744,0.0006109826480224713
0.056,-0.05740018199594933,0.04961341085760346,-0.006250082513788437,0.0018160252964082035,4.6809915250435586e-05,0.00032125474110881774
0.066,-0.0798490609531024,0.027793468527929688,-0.0074215256950406205,0.0020881866586839686,0.000136458605625397,0.00032549663446706557
0.076,-0.09763672320814581,0.006060596412139588,-0.009059318878255718,0.0018066723233362476,-0.00027298257397857415,0.0004135222445146773
0.085,-0.07455290854172363,0.026079587297005415,-0.007026643982509693,0.001837100740462728,-0.00016692013813977139,0.00043208826425949695
0.094,-0.06110452771271478,0.03785256009943671,-0.0062703641244468925,0.0019378753827390743,5.3527763179458314e-05,0.0005298143025305128
0.104,-0.08116709500960875,0.013528011059479275,-0.01331612607797359,0.0018270747271276098,0.0001733791464563832,0.0003274929506515793
0.113,-0.09524858263354369,0.004510190288686027,-0.015288739101461186,0.001339041065846864,3.2079704822695774e-06,0.0004281011516699337
0.122,-0.07429044876667347,0.029441325540285064,-0.006533083019272142,0.0016987511310682364,-0.00023987509353242734,0.00046429460665568936
0.133,-0.06809084285922304,0.03298016619238113,-0.0033264314547315644,0.0015814663123136213,-0.00013836814470095425,0.00022585088926212215
